0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 
8.83e-07, 5.815e-07, 3.26e-07, 2.36375e-07, 2.42438e-07, 2.46031e-07, 2.43063e-07, 2.54375e-07, 2.6441e-07, 2.92295e-07, 2.8975e-07, 3.17062e-07, 3.4603e-07, 4.36184e-07, 4.13616e-07, 4.20986e-07, 4.59882e-07, 4.65758e-07, 4.917e-07, 5.12612e-07, 5.47932e-07, 5.60677e-07, 5.94235e-07, 6.061e-07, 6.3458e-07, 6.67394e-07, 
4.819e-06, 1.0595e-06, 3e-07, 2.325e-07, 2.43813e-07, 2.47875e-07, 2.45359e-07, 2.49109e-07, 2.59098e-07, 2.85717e-07, 2.8297e-07, 3.11195e-07, 3.26328e-07, 4.87076e-07, 3.67317e-07, 3.85956e-07, 4.48426e-07, 4.68752e-07, 4.87615e-07, 5.20657e-07, 5.35177e-07, 5.57185e-07, 5.81755e-07, 6.0364e-07, 6.26271e-07, 6.48607e-07, 
8.602e-06, 5.322e-06, 2.189e-06, 9.89e-07, 6.39125e-07, 4.99688e-07, 4.27422e-07, 3.96211e-07, 3.9673e-07, 4.14193e-07, 3.76521e-07, 3.55301e-07, 3.90656e-07, 3.88291e-07, 3.83963e-07, 4.60493e-07, 4.89477e-07, 5.17804e-07, 5.3871e-07, 5.64966e-07, 5.88203e-07, 6.11299e-07, 6.32338e-07, 6.59564e-07, 6.82551e-07, 7.07221e-07, 
2.6341e-05, 1.5671e-05, 6.91975e-06, 2.11675e-06, 1.09481e-06, 6.60594e-07, 4.84344e-07, 3.98109e-07, 4.65293e-07, 4.34611e-07, 4.88388e-07, 4.88983e-07, 4.28425e-07, 4.69103e-07, 4.98806e-07, 5.301e-07, 5.5604e-07, 5.79532e-07, 6.1168e-07, 6.51819e-07, 6.72278e-07, 7.13847e-07, 7.36662e-07, 7.75287e-07, 8.10991e-07, 8.39933e-07, 
4.971e-06, 1.14e-06, 3.5075e-07, 2.9275e-07, 2.67938e-07, 2.85844e-07, 3.06844e-07, 3.36266e-07, 4.21793e-07, 5.35648e-07, 3.22516e-07, 5.1142e-07, 5.90224e-07, 6.65903e-07, 6.11488e-07, 6.32945e-07, 6.26027e-07, 6.73517e-07, 6.70252e-07, 7.15202e-07, 7.38472e-07, 7.76412e-07, 8.12131e-07, 8.55345e-07, 8.89172e-07, 9.33411e-07, 
5.263e-06, 1.236e-06, 3.565e-07, 2.60625e-07, 2.62313e-07, 2.82438e-07, 2.84156e-07, 4.64453e-07, 3.49531e-07, 3.83908e-07, 4.62898e-07, 5.2785e-07, 6.1695e-07, 5.45751e-07, 6.45842e-07, 6.80008e-07, 6.67286e-07, 6.85876e-07, 6.97531e-07, 7.33484e-07, 7.64127e-07, 8.04117e-07, 8.38895e-07, 8.83605e-07, 9.29633e-07, 9.70004e-07, 
1.219e-06, 1.17e-06, 3.5625e-07, 2.6775e-07, 2.67188e-07, 2.75531e-07, 2.88688e-07, 3.01984e-07, 6.81965e-07, 3.73957e-07, 4.17057e-07, 4.90618e-07, 7.42033e-07, 5.69157e-07, 6.91924e-07, 7.13088e-07, 7.38772e-07, 7.18627e-07, 7.30624e-07, 7.53591e-07, 7.8095e-07, 8.14827e-07, 8.51547e-07, 8.89105e-07, 9.25413e-07, 9.56363e-07, 
4.769e-06, 1.154e-06, 3.6525e-07, 2.64375e-07, 2.64625e-07, 2.84531e-07, 2.77094e-07, 2.91852e-07, 3.13816e-07, 3.57699e-07, 3.75218e-07, 2.43443e-07, 5.19473e-07, 4.38145e-07, 6.23061e-07, 6.82332e-07, 6.98189e-07, 7.07834e-07, 7.29167e-07, 7.50214e-07, 7.72005e-07, 7.89979e-07, 8.27336e-07, 8.66713e-07, 9.01078e-07, 9.32163e-07, 
1.4804e-05, 8.8845e-06, 3.699e-06, 9.9125e-07, 1.90356e-06, 5.32312e-07, 3.86344e-07, 3.33961e-07, 3.25555e-07, 3.39811e-07, 3.78599e-07, 3.97077e-07, 3.95007e-07, 5.42463e-07, 6.21505e-07, 6.41496e-07, 7.08968e-07, 7.05187e-07, 7.25835e-07, 7.36164e-07, 7.66457e-07, 7.89075e-07, 8.17971e-07, 8.49199e-07, 8.75567e-07, 9.09381e-07, 
1.191e-06, 1.292e-06, 4.0575e-07, 3.00125e-07, 2.80125e-07, 6.75594e-07, 3.08125e-07, 2.9368e-07, 3.07535e-07, 3.27846e-07, 3.59867e-07, 5.1112e-07, 4.32088e-07, 4.22993e-07, 5.32574e-07, 6.18414e-07, 6.60054e-07, 7.01432e-07, 7.12669e-07, 7.35034e-07, 7.58174e-07, 7.82696e-07, 8.06033e-07, 8.35564e-07, 8.63453e-07, 8.90624e-07, 
1.308e-06, 1.33e-06, 4.9325e-07, 2.955e-07, 2.86313e-07, 2.84031e-07, 2.84109e-07, 2.95875e-07, 3.00988e-07, 3.24545e-07, 3.57987e-07, 3.84053e-07, 3.43654e-07, 4.95185e-07, 5.49215e-07, 6.47812e-07, 6.51761e-07, 6.82927e-07, 7.06897e-07, 7.31029e-07, 7.583e-07, 7.82639e-07, 8.05415e-07, 8.27479e-07, 8.48762e-07, 8.76745e-07, 
1.034e-06, 1.1335e-06, 3.46e-07, 2.74875e-07, 2.725e-07, 2.685e-07, 2.70391e-07, 2.84594e-07, 2.98414e-07, 5.08836e-07, 3.56499e-07, 3.74609e-07, 3.44958e-07, 5.4202e-07, 5.42287e-07, 6.35803e-07, 6.51244e-07, 6.78565e-07, 7.03928e-07, 7.29899e-07, 7.55223e-07, 7.75057e-07, 7.96845e-07, 8.15269e-07, 8.46014e-07, 8.68405e-07, 
0, 9.233e-06, 3.715e-06, 1.2e-06, 8.2075e-07, 9.74719e-07, 3.84891e-07, 3.34883e-07, 3.28262e-07, 3.32771e-07, 3.60584e-07, 4.2101e-07, 3.6958e-07, 4.18863e-07, 4.9977e-07, 5.81395e-07, 6.48166e-07, 6.72842e-07, 6.91202e-07, 7.17542e-07, 7.42513e-07, 7.6944e-07, 7.89851e-07, 8.13477e-07, 8.32355e-07, 8.58023e-07, 
1.1473e-05, 3.8715e-06, 4.5425e-07, 2.74875e-07, 2.78125e-07, 2.73625e-07, 2.79953e-07, 2.91992e-07, 3.01488e-07, 3.47863e-07, 3.47719e-07, 3.70497e-07, 3.45974e-07, 5.38057e-07, 5.89549e-07, 5.94449e-07, 6.42211e-07, 6.68612e-07, 6.89293e-07, 7.19263e-07, 7.37863e-07, 7.63627e-07, 7.86955e-07, 8.06782e-07, 8.27829e-07, 8.56761e-07, 
5.185e-06, 1.669e-06, 5.675e-07, 4.65875e-07, 3.60625e-07, 3.98469e-07, 3.94781e-07, 4.07086e-07, 4.33406e-07, 3.60395e-07, 3.47958e-07, 4.50985e-07, 4.15376e-07, 3.89007e-07, 5.29686e-07, 6.11833e-07, 6.51751e-07, 6.6839e-07, 6.92208e-07, 7.20126e-07, 7.42328e-07, 7.63064e-07, 7.85973e-07, 8.14619e-07, 8.30258e-07, 8.55428e-07, 
1.293e-06, 1.1815e-06, 4.355e-07, 2.72875e-07, 2.77375e-07, 2.77156e-07, 2.83984e-07, 2.90664e-07, 3.02406e-07, 3.25154e-07, 3.60002e-07, 7.49646e-07, 4.23056e-07, 4.36054e-07, 4.57003e-07, 6.27594e-07, 6.46423e-07, 6.69215e-07, 6.96112e-07, 7.1679e-07, 7.44872e-07, 7.67616e-07, 7.91897e-07, 8.12896e-07, 8.36481e-07, 8.58827e-07, 
1.0475e-05, 5.1515e-06, 2.4945e-06, 1.02863e-06, 6.5275e-07, 4.95219e-07, 3.80422e-07, 3.28625e-07, 3.25309e-07, 3.3709e-07, 2.52695e-07, 3.74642e-07, 3.99155e-07, 3.3179e-07, 5.68348e-07, 6.145e-07, 6.58115e-07, 6.73833e-07, 7.03277e-07, 7.24893e-07, 7.48792e-07, 7.72002e-07, 7.96699e-07, 8.23044e-07, 8.44238e-07, 8.67004e-07, 
9.422e-06, 6.5475e-06, 2.20825e-06, 9.60875e-07, 6.345e-07, 4.64188e-07, 3.61281e-07, 3.2943e-07, 3.30262e-07, 3.35193e-07, 3.64274e-07, 3.78467e-07, 3.10104e-07, 3.53658e-07, 5.51736e-07, 6.32819e-07, 6.61032e-07, 6.87927e-07, 7.05555e-07, 7.27198e-07, 7.59614e-07, 7.8303e-07, 8.02655e-07, 8.2531e-07, 8.50009e-07, 8.73907e-07, 
1.278e-06, 1.149e-06, 3.5475e-07, 2.8825e-07, 2.71375e-07, 2.78625e-07, 2.80328e-07, 2.88859e-07, 3.05e-07, 3.25426e-07, 3.57725e-07, 3.80161e-07, 3.97632e-07, 6.33673e-07, 5.78271e-07, 6.59356e-07, 6.66728e-07, 6.93223e-07, 7.18493e-07, 7.41166e-07, 7.65385e-07, 7.85509e-07, 8.11202e-07, 8.33191e-07, 8.59229e-07, 8.80102e-07, 
7.337e-06, 1.312e-06, 4.26e-07, 2.8325e-07, 2.83313e-07, 2.8525e-07, 2.84875e-07, 3.97938e-07, 3.19813e-07, 3.25189e-07, 3.61525e-07, 3.76473e-07, 3.91829e-07, 3.5357e-07, 5.29966e-07, 6.50984e-07, 6.5792e-07, 6.99352e-07, 7.15933e-07, 7.4042e-07, 7.69854e-07, 7.98059e-07, 8.20671e-07, 8.35877e-07, 8.59169e-07, 8.84113e-07, 
2.052e-05, 1.89685e-05, 5.469e-06, 1.92875e-06, 1.08144e-06, 6.88906e-07, 5.11281e-07, 4.31156e-07, 3.36203e-07, 3.64268e-07, 3.59503e-07, 3.756e-07, 3.57381e-07, 4.27619e-07, 5.14599e-07, 6.67356e-07, 6.61466e-07, 6.96007e-07, 7.16859e-07, 7.48298e-07, 7.67351e-07, 7.90595e-07, 8.13589e-07, 8.37358e-07, 8.66023e-07, 8.88069e-07, 
1.018e-06, 6.448e-06, 4.4075e-07, 2.965e-07, 2.81688e-07, 2.75094e-07, 2.88406e-07, 2.92836e-07, 3.03777e-07, 3.27523e-07, 3.58325e-07, 3.78152e-07, 5.24076e-07, 4.60301e-07, 5.39241e-07, 6.49857e-07, 6.67789e-07, 7.06836e-07, 7.21831e-07, 7.51757e-07, 7.70343e-07, 7.91445e-07, 8.16053e-07, 8.43266e-07, 8.68489e-07, 8.8889e-07, 
1.289e-06, 1.085e-06, 3.425e-07, 2.81625e-07, 2.745e-07, 2.70406e-07, 2.75547e-07, 2.81e-07, 3.0107e-07, 3.68615e-07, 3.52263e-07, 3.79175e-07, 3.95807e-07, 4.75074e-07, 5.08295e-07, 6.43005e-07, 6.80333e-07, 6.98214e-07, 7.16364e-07, 7.45058e-07, 7.72025e-07, 7.94241e-07, 8.16113e-07, 8.417e-07, 8.7123e-07, 8.8801e-07, 
1.304e-06, 1.1335e-06, 3.43e-07, 2.75875e-07, 2.73625e-07, 2.66719e-07, 4.73344e-07, 3.08125e-07, 3.03227e-07, 3.24576e-07, 1.74154e-07, 4.29913e-07, 4.06847e-07, 4.10516e-07, 5.47203e-07, 6.30778e-07, 6.82717e-07, 6.99018e-07, 7.26908e-07, 7.48501e-07, 7.74916e-07, 7.95032e-07, 8.20468e-07, 8.42461e-07, 8.66532e-07, 8.90458e-07, 
0, 2.885e-06, 1.38925e-06, 8.2625e-07, 5.41688e-07, 4.15e-07, 3.62719e-07, 4.28203e-07, 3.2066e-07, 3.27578e-07, 4.37257e-07, 3.77686e-07, 3.96069e-07, 4.83674e-07, 4.92702e-07, 6.26677e-07, 6.83435e-07, 6.95636e-07, 7.26731e-07, 7.4535e-07, 7.70788e-07, 7.97209e-07, 8.18543e-07, 8.40245e-07, 8.65812e-07, 8.9221e-07, 
